Image Name,dx_ar,dy_ar,dx_ag,dy_ag,Elapsed Time (s)
harvesters,14,124,17,59,7.397306203842163
church,-4,58,4,25,8.084272146224976
cathedral,3,12,2,5,1.3051795959472656
icon,23,89,17,41,7.6047844886779785
italil,35,77,21,38,7.948449611663818
lastochikino,-9,75,-2,-3,7.797363996505737
lugano,-29,93,-16,41,7.876736164093018
melons,14,179,11,82,7.697860479354858
monastery,2,3,2,-3,1.2183001041412354
self_portrait,37,176,29,79,7.626426696777344
siren,-25,96,-6,49,8.018773078918457
three_generations,11,111,14,52,7.614144325256348
tobolsk,3,6,3,3,1.1692545413970947
emir,51,47,24,49,8.798013687133789
choice1,48,47,24,28,9.847097635269165

choice4,-27,140,-11,33,8.377566814422607
